sentence,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32
Đúng với mô_tả : đúng sản_phẩm nguyên seal . Unbox và active máy chạy mượt . Chạy tác_vụ bình_thường thì rất tốt . Không có nhu_cầu các loại app hay game nặng nên không để_ý . Tuy_nhiên có_thể do là dòng giá rẻ nên độ hoàn_thiện chưa tốt . Cạnh_đáy máy có mấy vết sơn bị nổ . Cạnh viền dưới trái có vết như ảnh . Có hơi thất_vọng về sản_phẩm .,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nút âm_lượng lỏng hàng khác với mô_tả không có chống rung . Quay video run_như_cầy_sấy , không xem nổi . ,",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variation 3 : mỹ 2 sim 99% 128gb nắp lưng đằng sau có rất nhiều vết xước và nổ sơn lấm_tấm . Màn_hình trước có 1 vết xước .,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Máy có vết trầy rất to ở mặt lưng làm xấu ngoại_hình .,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gửi không đúng màu mình chọn.đã vậy máy lại đóng_gói xơ sử dụng.máy lại có vết trầy phía trên nữa . Quá thất_vọng,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thân máy dễ bám vân tay tạm được thiết_kế không thực_tế . mặt lưng của máy làm bằng kính bóng , dù rất đẹp nhưng lại bám mồ_hôi và vân tay kinh_khủng . mình lau liên_tục mà chỉ cầm vào một lúc là lại bẩn , nhìn rất mất thẩm_mỹ .",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hôm_nay tôi thực_sự thất_vọng về chiếc điện_thoại mà mình vừa mua . khi đặt_hàng , tôi đã chọn đúng mẫu_mã theo quảng_cáo , thế nhưng khi nhận sản_phẩm , mọi thứ lại hoàn_toàn khác_biệt . trước_hết , ngoại_hình máy không hề giống như hình_ảnh giới_thiệu . vỏ máy lỏng_lẻo , không giống như mô_tả . tệ hơn , cấu_hình bên trong cũng không đúng như cam_kết . bộ_nhớ máy nhỏ hơn nhiều so với thông_tin . chỉ sử_dụng một thời_gian ngắn là máy nóng ran . tôi cảm_thấy mình đã bị lừa khi sản_phẩm không hề đúng mẫu_mã và chất_lượng như quảng_cáo . một chiếc điện_thoại như_vậy không_chỉ làm mất tiền_bạc mà_còn gây ra sự bực_bội , phiền_toái trong công_việc và học_tập . may cho cửa_hàng là e hiền , gặp người nào dữ hơn như cảnh_sát hay hình_sự thì cửa_hàng đã toang rồi , hy_vọng cửa_hàng mau suy_nghĩ lại cách làm_việc của mình đi , đừng để sau_này phải hối_hận . bởi_vì làm việc gì cũng có nhân quả của nó cả",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ship giao hàng nhanh , đặt hôm_nay là ngày sau nhận được . Máy mượt , đã thử tex tầm 2 tiếng , máy không bị nóng , không nóng máy với lướt mượt là tốt . Với giá này mà được con điện_thoại ngon_lành . Chỉ có điểm trừ là cửa_hàng đóng_gói sai nhé đặt xanh nhạt mà giao xanh đậm . Với mặt sau hơi trầy . Nhưng máy ngon cũng chấp_nhận được . Vừa rẻ vừa ngon nên mua nhé mọi người",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"chất_liệu nhựa rẻ_tiền hàng nhái dễ nóng máy . mới chơi game 10p là nóng_bỏng tay , không dám cầm lâu . ,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Điện_thoại mini nhìn nhỏ gọn , đầy_đủ chức_năng nhưng pin thì rất tệ .. Để không sử_dụng nhưng vẫn bị giựt pin , để qua đêm giựt 40% pin .. Sạc đầy 100% trưa hôm trước không sài mà sáng hôm sau tắt nguồn luôn ... Mặt sau điện_thoại thì lỏng_lẻo nhấn vào lõm lõm không chắc_chắn ... Nhắn cửa_hàng thì cửa_hàng không phản_hồi , làm_ăn thiếu trách_nhiệm ... Điện_thoại này không nên mua nha mọi người ... Phí tiền ... Để thì bảo_hành này kia_mà nhắn_tin cửa_hàng im ru ...",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Build ọp_ẹp ' mới ' nhưng có vết phím kẹt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Máy sướt sâu như ảnh , máy camera sau xước long mèo nhiều , màn dán chống trầy nên không rõ nhưng quan_sát thấy đẹp.tet máy bin còn 83% , áp nhảy chống nước yếu mình nghĩ không còn khả_năng chống nước , mua trả_góp cũng không yên , sợ anh_linh , thề tôi nói láu ra đường xe t .",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Điện_thoại ngoại_hình rất xấu , thiết_kế kém thẩm_mĩ . Máy rất nóng khi chơi game . Camera chụp tối màu rất giả . Ship chậm và không giao tận nơi",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nhận hàng thì cũng nhận được rồi . Điện_thoại bị xước lấy về không tải được ứng_dụng nào luôn mìk đã thử tải youtube từ trưa hôm_qua tới giờ vẫn không được . Quá thất_vọng mọi người xem cân_nhắc chứ mìk thấy ở ngoài cũng ổn ổn mà_lại không làm được cái gì biết là tiền_nào_của_nấy , nhưng điện_thoại mà không sài được bán làm_gì",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Nút bấm ọp_ẹp , hoàn_thiện khung tệ . Khác với mô_tả vật_liệu cao_cấp . Tính_năng chống trầy không đúng thực_tế . Cầm máy thấy không yên_tâm",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hỏng hàng kém chất_lượng nút nguồn liệt , khó bật / tắt máy ,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
máy xài cũng tốt mà pin sạc 3 tiếng không đầy được . thân máy bị hở,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Đúng là điện_thoại mới 99% , nhưng 1% còn lại chính là mặt kính hơi bị trầy .",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vết xước lớn ' mới 100% ' sai ngoại_hình xuống_cấp , cảm_giác kém ,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Điện_thoại đã thay màn , vỏ có_vẻ cũng bị thay , trông khá ọp_ẹp . Nhưng sử_dụng thì khá tốt với giá tiền . Không biết có bền không nữa .",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pin máy hết nút nguồn bị móp nhé sử_dụng tốt giá rẻ vậy là quá tốt máy cũ không_trách được mong sử_dụng bền,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Chất_lượng sản_phẩm : tốt Đúng với mô_tả : đúng sau 1 tuần sử_dụng khá ngon , ngoại_hình hơi xước tý . pin còn 100%",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
do máy bị nứt vỏ chổ nút nguồn và không có sạc nên chỉ được 3 sao thôi .,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ngoại_hình kém , sơn bong ' premium ' nhưng dỏm camera & pin đều yếu ,",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Đã nhận được máy nhưng mình không làm gì mà mặt lưng dính khá nhiều chấm trắng,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nút bấm lỏng_lẻo . vật_liệu cao_cấp ko đúng . lớp phủ chống trầy vô tác_dụng xài vài ngày đã tróc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiết_kế máy có kiểu_dáng thông_thường như các dòng sản_phẩm khác .,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thiết_kế của máy theo phong_cách tối_giản , không có điểm nhấn đặc_biệt . Phần_mềm đi kèm có các chức_năng cơ_bản .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Thiết_kế của máy theo phong_cách phổ_thông , không có điểm nhấn riêng .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thiết_kế của máy không có điểm nhấn đặc_biệt , khá giống với các sản_phẩm khác trên thị_trường .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Về thiết_kế , máy có trọng_lượng 180g , cầm trên tay cảm_giác như_vậy .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiết_kế mặt lưng sử_dụng chất_liệu kính,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiết_kế sản_phẩm có kiểu_dáng cơ_bản và vừa_vặn với tay cầm .,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiết_kế có khối_lượng 199 gram,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vật_liệu hoàn_thiện thân máy ở mức khá . Màn_hình có độ_phân_giải tiêu_chuẩn , không quá sắc nét nhưng đủ chi_tiết .",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cảm_giác cầm nắm trên tay cũng ổn , không tốt mà cũng không tệ . Thời_gian khởi_động máy thì ở mức trung_bình , đủ dùng cho công_việc hằng ngày .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiết_kế sản_phẩm có hai màu để lựa_chọn .,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Đúng theo công_bố về độ_phân_giải màn_hình , camera sau chưa kiểm_tra kỹ .",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Đóng_gói sản_phẩm bao_gồm thân máy và phụ_kiện sạc cơ_bản đi kèm .,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chính_sách bảo_hành sản_phẩm theo tiêu_chuẩn , không có thêm điều_khoản đặc_biệt . Thiết_kế máy không có nhiều thay_đổi so với thế_hệ trước .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kiểu_dáng của máy khá phổ_thông , chất_lượng hiển_thị của màn_hình ở mức vừa_phải .",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thiết_kế mặt lưng làm từ nhựa nguyên khối,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Máy mỏng vừa , nhẹ , đẹp , hàng nguyên siêu , mua của fpt nên yên_tâm ạ . Giao hàng cũng nhanh nhé mọi người .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"nhận hàng nguyên seal , hàng nguyên_vẹn không lỗi , máy đẹp , mỏng , chưa sử_dụng không biết bền không , nhìn vẻ ngoài rất đẹp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"săn sale còn 3tr4 chính hãng không một con nào ngon hơn 30s này , đẹp sang xịn mịn , quá đã",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sản_phẩm đúng như mô_tả sử_dụng tốt thời_lượng sử_dụng pin lâu mẫu_mã đẹp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nhóm màu : đen dung_lượng lưu_trữ rộng_rãi 128gb , bảo_hành đáng tin_cậy trong 12 tháng , thiết_kế mỏng nhẹ và sang_trọng ,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chất_lượng sản_phẩm : ổn Tính_năng nổi_bật : màn_hình lớn điểm cộng là máy màu đẹp , cầm rất nhẹ_tay , màn_hình lớn , chữ lớn , tiện cho người lớn_tuổi sử_dụng . Cửa_hàng đóng_gói kỹ , chắc_chắn . Về phần dịch_vụ bảo_hành thì chưa biết thế_nào . Điểm trừ là nắp lưng mở khó cực , lắp cái sim mà nó vất_vả . Máy không có tệp âm_thanh làm chuông báo , 2 tệp nhạc chuông mặc_định quá_chừng nản_lòng . Hy_vọng máy sử_dụng ổn_định lâu_dài .",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Nhóm màu : blue Dung_lượng lưu_trữ : 128gb thiết_kế đẹp_mắt ,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nhóm màu : pink Dung_lượng lưu_trữ : 256gb giao hàng nhanh_chóng và an_toàn . , màu_sắc tuyệt đẹp , khó lựa_chọn ! ,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tính_năng nổi_bật : máy đẹp , mượt_mà , đầy_đủ các tính_năng Đúng với mô_tả : đúng với mô_tả pin được khá lâu mọi người nên mua để ủng_hộ cửa_hàng",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Màu_sắc : màu ngẫu_nhiên sản_phẩm : đã nhận máy thiết_kế đẹp , giá tốt , chất_lượng chụp hình rõ nét , sử_dụng rất tốt luôn . Giao hàng thì siêu siêu nhanh . Tặng cửa_hàng 5 sao .",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Đã test thử máy chạy mượt . Pin ổn . Hình_thức nhìn đẹp . Cửa_hàng nhiệt_tình chu_đáo .,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
