sentence,aspect,sentiment
"Màu_sắc : đen 8 g / 128 g máy có_vẻ đang thay lưng hơi ộp ẹp , lưng hàng lô nên hơi lởm , nhưng giá cũng tạm",Price,Neutral
"Dung_lượng lưu_trữ : bản 32g máy sử_dụng dược , hơi hao pin , máy nóng mở nhạc",Battery,Negative
Tôi muốn hỏi hệ_điều_hành có kế_hoạch cập_nhật lên phiên_bản mới không ?,General,Neutral
"Điện_thoại chính hãng , giá_cả hợp_lí , giao hàng nhanh , shipper thân_thiện",Price,Positive
"chăm_sóc khách_hàng chậm , nhắn_tin thì nói_chuyện như cha người ta .",Shop_Service,Negative
"Kém chất_lượng sai_lệch thiếu đóng_gói lỏng . Shipping trễ , phí cao đỏ . ,",Price,Negative
Giá sản_phẩm đúng với mức giá đã hiển_thị lúc mình đặt_hàng trên web .,Price,Neutral
"Ngoại_hình đẹp , gần như như mới ( 98% ) . Có chút vết xước nhẹ . Màn_hình 4k hdr sắc nét , tỷ_lệ điện_ảnh . Camera chuyên_nghiệp , thích_hợp người thích điều_khiển thủ_công . Hỗ_trợ sạc không dây , jack 3.5 , microsd mở_rộng và khả_năng kháng nước ip 68 . Loa kép mặt trước âm_thanh tốt cho giải_trí .",Design,Positive
"Hàng dỏm . Ảnh chụp màu_sắc bị sai tông . Hiệu_năng tệ . Camera chụp màu quá ảo , không thật mắt . Hiệu_năng kém , dễ lag . Pin sạc lâu . Đóng_gói không bảo_vệ . Ship chậm",Packaging,Negative
variation 3 : bạc variation 1 : nguyên seal chất trong tầm giá,Packaging,Positive
"Nhóm màu : đen Dung_lượng lưu_trữ : 16gb đặt đen giao trắng , Sản_phẩm dùng được là tốt rồi",General,Positive
Màu máy : màu đen sản_phẩm : samsung a50s 4/6 4g b cửa_hàng ơi mình nhận máy rồi nè . giao hàng nhanh . đóng_gói cẩn_thận . đúng máy mình cần nè . test qua thì ổn lắm . mọi chức_năng đều ổn nè . cửa_hàng uy_tín vậy mình sẽ giới_thiệu ủng_hộ thêm cửa_hàng nè . giá cũng tốt nha ,General,Positive
"Cửa_hàng uy tín có tâm . Em thật may mắn khi mua đúng nơi đúng chỗ . Cửa_hàng giao hàng nhanh gọn lẹ . Đóng gói cẩn thận chất_lượng tuyệt_vời lắm nè . Em dùng mà ai nhìn vào cũng khen , họ còn nhờ mua mua hộ nữa .",Packaging,Positive
Đúng với mô_tả : đúng Chất_lượng sản_phẩm : tốt Tính_năng nổi_bật : màn 144hz sử_dụng được 2 ngày màn có lúc loạn,Display,Negative
"Kém_cỏi không giống pin tụt vèo_vèo chỉ sau 2 giờ sử_dụng , camera mờ tịt như sương_mù , đóng_gói thì lỏng_lẻo dẫn đến xước xát",Packaging,Negative
"Nhóm Màu_sắc : màu ngẫu_nhiên sản_phẩm : máy thiết_kế đẹp , ổn trong tầm giá rất chất_lượng , máy vừa rẻ vừa đẹp , chụp hình rõ nét , sử_dụng rất là tốt luôn . Giao hàng siêu siêu nhanh , đặt hôm_nay mai có sử_dụng liền luôn triệu like cho cửa_hàng ",Price,Positive
Chăm_sóc khách_hàng trả_lời chậm 4 ngày hiệu_năng lag chuyển tab pin hao pin gọi video,Performance,Negative
"điện_thoại ss j2 prime sài cũng tạm nhưng hơi đơ và bị hư khe sim , dù_sao chưa đến 500k thì tiền_nào_của_nấy thôi biết sao , ai muốn mua điện_thoại rẻ trên soppe thì nên cân_nhắc thật kĩ nha",Performance,Negative
shipping giao hàng bị móp camera selfie thiếu độ_phân_giải đóng hàng thiếu túi chống bụi,Shipping,Negative
"điện_thoại mua về mà ứng_dụng zalo thì không sử_dụng được , báo zalo không được hỗ_trợ trên thiết_bị này . zalo bây_giờ là ứng_dụng thiết_yếu nhưng lại không_thể cài_đặt cũng như không_thể sử_dụng được trên điện_thoại thì mua điện_thoại về có khác gì cái điện_thoại cục gạch đâu . nhắn_tin hỏi thì cửa_hàng câm luôn , không phản_hồi . màn_hình thì viền xung_quanh bị chạy dọc , ngang mờ 4 cạnh . sử_dụng điện_thoại thì đơ , phải tắt nguồn đi bật lại liên_tục thì mới tiếp_tục sử_dụng được .",Display,Negative
"Phiên_bản 8/256 , ngoại_hình 90% , màn_hình xướt nhẹ , đã dán sẵn miếng dán ppf , mặt lưng và camera xướt nhiều , pin không trâu lắm , loa hay như loa bluetooth , cổng sạc đôi khi không ăn điện , săn sale được giá 4tr",Display,Negative
"Đóng_gói không ngừa mốc , camera selfie tiếng ồn vang . Hỗ_trợ thư không mở , hiệu_năng bộ_nhớ giả .",Camera,Negative
"Sản_phẩm mới 70% , không có sạc , mua màu đen lại gửi màu vàng . Nhưng sử_dụng vẫn ổn , lag ít , chạy khá mượt , giao hàng nhanh .",Shipping,Positive
"đóng_gói xốp lẻ_tẻ , ship làm cong cáp . pin lẹt gọi hội_nghị , camera hình_ảnh nhảy .",Camera,Negative
Hiệu_năng tốt . Pin sử_dụng được gần một ngày với các tác_vụ thông_thường .,Battery,Positive
"hiệu_năng đầy cache gây khựng , camera macro xa lem . ship hàng hỏng , chăm_sóc yêu_cầu ảnh cũ .",Camera,Positive
"Trải_nghiệm chơi game mượt_mà , chất_lượng máy_ảnh tuyệt_vời ,",Camera,Positive
camera zoom rung lắc mất nét . hiệu_năng nóng máy sau 30 phút dùng . đóng_gói thiếu lớp bảo_vệ màn_hình trầy .,Performance,Negative
Nhân_viên cửa_hàng cung_cấp thông_tin sản_phẩm một_cách đầy_đủ . Hiệu_năng máy đáp_ứng được các nhu_cầu cơ_bản .,Shop_Service,Neutral
Camera selfie làm mịn quá mức mất chi_tiết . Ảnh chụp ra quá ảo . Chỉ_số chống nước không đáng tin_cậy . Phần_mềm chạy không ổn_định hay bị văng ra . Chăm_sóc khách_hàng khó liên_hệ qua điện_thoại . Giao hàng rất lâu gần 10 ngày,Camera,Negative
"Giao hàng nhanh , mua được với giá rẻ , cho cửa_hàng 5 sao",Price,Positive
"sản_phẩm tốt , chất_lượng đảm_bảo , giao hàng nhanh , thái_độ phục_vụ tốt .",Shipping,Positive
Màu_sắc : bạc Phân_loại : nguyên seal máy đúng nguyên seal fullbox . đã thử test thấy mọi chức_năng đều ổn . riêng khoản 5g có_vẻ chưa tương_thích với băng tần các nhà mạng tại Việt_Nam . nhìn_chung mình hài_lòng vì đây là một khoản đầu_tư tốt cho máy phụ và giải_trí !,General,Positive
"Nhóm màu : blue Dung_lượng lưu_trữ : 128gb chất_lượng máy_ảnh ấn_tượng , thiết_kế tuyệt đẹp , giá_trị tuyệt_vời cho số tiền bỏ ra , giá_trị tuyệt_vời cho số tiền bỏ ra ,",Design,Positive
"Khả_năng lưu_trữ : 32gb Nhóm màu : nhiều màu ổn thật_sự và rất đáng mua . Cảm_ơn cửa_hàng lúc_nào cũng sẵn_sàng tư_vấn cho mình dù là 12h đêm , cảm_ơn cửa_hàng thật_sự",Design,Positive
"Color family : random color sản_phẩm : quá ngon , máy không quá mắc tiền nhưng chất_lượng nhận được thì qua tuyệt , ngoại_hình cũng đẹp , giao hàng lại nhiệt_tình nên mình rất hài_lòng",Price,Positive
Máy đẹp nha . E đã sử_dụng thử vài ngày rất tốt .. Tất_cả đều ổn ... Cửa_hàng uy_tín .. Máy đẹp chụp ảnh quay video đẹp,General,Positive
"Đúng với mô_tả : máy đẹp , đúng như quảng_cáo Chất_lượng sản_phẩm : tốt Tính_năng nổi_bật : to , rõ hàng đẹp , giao hàng nhanh , đóng_gói kỉ",Shipping,Positive
"Máy bản tàu , không tải được shopee , pin > 4000 mah nhưng sử_dụng nhanh hết , cảm_giác pin rất cũ rồi . So với giá tiền thì mua cũng được . Sử_dụng khá mượt nhưng nhiều tác_vụ là hết mượt ; loa , cam không chất_lượng . Không bằng mấy con xiaomi cũ 1,5 củ sử_dụng khác hẳn . Nhưng cửa_hàng này chắc cũng uy_tín hơn mấy cửa_hàng khác . Cảm_ơn ! , à ghi_chú máy trắng nhưng gửi màu tím",Battery,Negative
Chất_lượng sản_phẩm : tốt Đúng với mô_tả : 﫰 Tính_năng nổi_bật : 﫡,General,Positive
Hàng kem chất lượng.dùng 2 ngày hỏng màn_hình luôn,Display,Negative
"Màu_sắc : bạc Phân_loại : nguyên seal đang test , nguyên siêu .",Packaging,Positive
"Chất_lượng sản_phẩm : tốt Tính_năng nổi_bật : 4g Đúng với mô_tả : máy đẹp nha sản_phẩm tốt , đúng mô_tả , đóng_gói kĩ , cửa_hàng hỗ_trợ , trả_lời tin nhắn với giao hàng nhanh",Design,Positive
"Lỗi nhiều . Mô_tả thiếu chính_xác . Pin sạc chậm . Sạc đầy lâu , sử_dụng nhanh hết . Hiệu_năng không ổn_định . Đóng_gói không có hộp . Ship quá lâu . Chăm_sóc khách_hàng không hỗ_trợ kỹ_thuật",Battery,Negative
Em cảm_ơn cửa_hàng nhiều a điện_thoại đẹp ạ ,Design,Positive
